Player_Name,Role_Desc,Player_team,Opposit_Team,is_manofThematch,pscore,City_Name
SC Ganguly,Captain,Kolkata Knight Riders,Deccan Chargers,1,3,Deccan Chargers
WP Saha,Player,Chennai Super Kings,Rajasthan Royals,0,1,Chennai Super Kings
AB Dinda,Player,Pune Warriors,Kings XI Punjab,0,0,Kings XI Punjab
JJ Bumrah,Player,Mumbai Indians,Delhi Daredevils,0,0,Delhi Daredevils
UBT Chand,Player,Delhi Daredevils,Royal Challengers Bangalore,0,1,Delhi Daredevils
UT Yadav,Player,Kolkata Knight Riders,Chennai Super Kings,0,0,Chennai Super Kings
RA Jadeja,Player,Chennai Super Kings,Delhi Daredevils,0,1,Chennai Super Kings
DR Smith,Player,Deccan Chargers,Rajasthan Royals,1,0,Deccan Chargers
AB de Villiers,Player,Royal Challengers Bangalore,Kings XI Punjab,0,1,Royal Challengers Bangalore
DR Smith,Player,Mumbai Indians,Royal Challengers Bangalore,0,0,Royal Challengers Bangalore
RJ Harris,Player,Deccan Chargers,Delhi Daredevils,0,0,Delhi Daredevils
DPMD Jayawardene,Player,Delhi Daredevils,Kolkata Knight Riders,0,1,Delhi Daredevils
MA Agarwal,Player,Delhi Daredevils,Rajasthan Royals,0,0,Rajasthan Royals
DJ Bravo,Player,Mumbai Indians,Deccan Chargers,0,0,Deccan Chargers
PC Valthaty,Player,Kings XI Punjab,Rajasthan Royals,0,1,Kings XI Punjab
MM Sharma,Player,Kings XI Punjab,Mumbai Indians,0,0,Mumbai Indians
M Morkel,Player,Kolkata Knight Riders,Mumbai Indians,0,0,Mumbai Indians
ML Hayden,Player,Chennai Super Kings,Royal Challengers Bangalore,0,1,Chennai Super Kings
CJ Anderson,Player,Mumbai Indians,Chennai Super Kings,0,1,Chennai Super Kings
PJ Sangwan,Player,Delhi Daredevils,Deccan Chargers,0,0,Deccan Chargers
AM Rahane,Player,Rising Pune Supergiants,Kings XI Punjab,0,0,Kings XI Punjab
KD Karthik,Keeper,Delhi Daredevils,Sunrisers Hyderabad,0,1,Delhi Daredevils
DA Miller,Player,Kings XI Punjab,Delhi Daredevils,0,0,Kings XI Punjab
PJ Sangwan,Player,Delhi Daredevils,Rajasthan Royals,0,0,Rajasthan Royals
SK Raina,Captain,Gujarat Lions,Royal Challengers Bangalore,0,3,Royal Challengers Bangalore
MG Johnson,Player,Kings XI Punjab,Chennai Super Kings,0,0,Chennai Super Kings
DJ Hussey,Player,Kolkata Knight Riders,Mumbai Indians,0,1,Kolkata Knight Riders
JP Duminy,Player,Mumbai Indians,Delhi Daredevils,0,0,Delhi Daredevils
MM Patel,Player,Mumbai Indians,Kolkata Knight Riders,1,1,Mumbai Indians
RG Sharma,Captain,Mumbai Indians,Sunrisers Hyderabad,0,3,Mumbai Indians
DE Bollinger,Player,Chennai Super Kings,Royal Challengers Bangalore,0,0,Royal Challengers Bangalore
CL White,Captain,Sunrisers Hyderabad,Kings XI Punjab,0,3,Sunrisers Hyderabad
SPD Smith,Player,Pune Warriors,Kings XI Punjab,0,0,Kings XI Punjab
M Kartik,Player,Kolkata Knight Riders,Kings XI Punjab,0,1,Kolkata Knight Riders
HH Pandya,Player,Mumbai Indians,Kolkata Knight Riders,0,1,Mumbai Indians
RP Singh,Player,Kochi Tuskers Kerala,Deccan Chargers,0,0,Kochi Tuskers Kerala
P Negi,Player,Royal Challengers Bangalore,Delhi Daredevils,0,0,Delhi Daredevils
CJ Anderson,Player,Delhi Daredevils,Mumbai Indians,0,0,Mumbai Indians
SK Raina,Player,Chennai Super Kings,Mumbai Indians,0,0,Chennai Super Kings
V Kohli,Player,Royal Challengers Bangalore,Delhi Daredevils,0,0,Royal Challengers Bangalore
ML Hayden,Player,Chennai Super Kings,Delhi Daredevils,0,0,Chennai Super Kings
PP Chawla,Player,Kolkata Knight Riders,Rising Pune Supergiants,0,0,Rising Pune Supergiants
L Balaji,Player,Kings XI Punjab,Chennai Super Kings,0,0,Chennai Super Kings
B Kumar,Player,Sunrisers Hyderabad,Rising Pune Supergiants,0,0,Rising Pune Supergiants
AT Rayudu,Keeper,Mumbai Indians,Chennai Super Kings,0,0,Chennai Super Kings
K Goel,Player,Kings XI Punjab,Delhi Daredevils,0,1,Kings XI Punjab
AM Nayar,Player,Kings XI Punjab,Kolkata Knight Riders,0,0,Kolkata Knight Riders
P Negi,Player,Chennai Super Kings,Royal Challengers Bangalore,0,0,Chennai Super Kings
DS Kulkarni,Player,Mumbai Indians,Chennai Super Kings,0,0,Chennai Super Kings
S Sohal,Player,Deccan Chargers,Kochi Tuskers Kerala,0,0,Kochi Tuskers Kerala
KA Pollard,Player,Mumbai Indians,Delhi Daredevils,0,1,Mumbai Indians
CJ Anderson,Player,Delhi Daredevils,Royal Challengers Bangalore,0,1,Delhi Daredevils
RV Uthappa,Keeper,Kolkata Knight Riders,Mumbai Indians,0,0,Mumbai Indians
KL Rahul,Player,Sunrisers Hyderabad,Royal Challengers Bangalore,0,0,Royal Challengers Bangalore
JJ Bumrah,Player,Mumbai Indians,Kings XI Punjab,0,0,Mumbai Indians
TM Dilshan,Player,Royal Challengers Bangalore,Delhi Daredevils,0,0,Delhi Daredevils
SP Narine,Player,Kolkata Knight Riders,Kings XI Punjab,0,0,Kolkata Knight Riders
KL Rahul,Keeper,Royal Challengers Bangalore,Sunrisers Hyderabad,0,0,Sunrisers Hyderabad
SR Tendulkar,Player,Mumbai Indians,Pune Warriors,0,0,Pune Warriors
IC Pandey,Player,Chennai Super Kings,Delhi Daredevils,0,1,Chennai Super Kings
M Manhas,Player,Delhi Daredevils,Deccan Chargers,0,0,Deccan Chargers
SR Tendulkar,Captain,Mumbai Indians,Chennai Super Kings,0,4,Mumbai Indians
UT Yadav,Player,Delhi Daredevils,Royal Challengers Bangalore,0,0,Royal Challengers Bangalore
DA Warner,Player,Sunrisers Hyderabad,Mumbai Indians,0,0,Sunrisers Hyderabad
MS Dhoni,Keeper,Rising Pune Supergiants,Mumbai Indians,0,0,Mumbai Indians
RG Sharma,Captain,Mumbai Indians,Kings XI Punjab,0,3,Kings XI Punjab
AC Gilchrist,CaptainKeeper,Deccan Chargers,Royal Challengers Bangalore,0,0,Deccan Chargers
RR Pant,Player,Delhi Daredevils,Royal Challengers Bangalore,0,0,Delhi Daredevils
JP Duminy,Player,Mumbai Indians,Kings XI Punjab,0,0,Kings XI Punjab
SR Tendulkar,Captain,Mumbai Indians,Kochi Tuskers Kerala,0,4,Mumbai Indians
WP Saha,Keeper,Kings XI Punjab,Chennai Super Kings,0,0,Kings XI Punjab
CL White,Player,Royal Challengers Bangalore,Deccan Chargers,0,0,Deccan Chargers
IK Pathan,Player,Rising Pune Supergiants,Kolkata Knight Riders,0,0,Kolkata Knight Riders
ST Jayasuriya,Player,Mumbai Indians,Kings XI Punjab,0,0,Kings XI Punjab
NV Ojha,Keeper,Sunrisers Hyderabad,Kolkata Knight Riders,0,0,Kolkata Knight Riders
SR Tendulkar,Player,Mumbai Indians,Delhi Daredevils,0,0,Delhi Daredevils
CH Gayle,Player,Royal Challengers Bangalore,Delhi Daredevils,0,1,Royal Challengers Bangalore
MS Dhoni,CaptainKeeper,Chennai Super Kings,Delhi Daredevils,0,1,Delhi Daredevils
IK Pathan,Player,Kings XI Punjab,Delhi Daredevils,0,1,Kings XI Punjab
MS Dhoni,CaptainKeeper,Chennai Super Kings,Kolkata Knight Riders,1,0,Kolkata Knight Riders
SK Trivedi,Player,Rajasthan Royals,Delhi Daredevils,0,0,Delhi Daredevils
RG Sharma,Player,Mumbai Indians,Chennai Super Kings,0,1,Mumbai Indians
M Vohra,Player,Kings XI Punjab,Rising Pune Supergiants,0,0,Kings XI Punjab
A Singh,Player,Rajasthan Royals,Kings XI Punjab,0,1,Rajasthan Royals
SK Raina,Player,Chennai Super Kings,Mumbai Indians,0,0,Mumbai Indians
DA Warner,Captain,Sunrisers Hyderabad,Kolkata Knight Riders,0,3,Kolkata Knight Riders
SL Malinga,Player,Mumbai Indians,Kolkata Knight Riders,0,1,Mumbai Indians
SK Raina,Player,Chennai Super Kings,Kings XI Punjab,0,1,Chennai Super Kings
AD Mathews,Player,Pune Warriors,Royal Challengers Bangalore,0,0,Pune Warriors
VR Aaron,Player,Kings XI Punjab,Kolkata Knight Riders,0,0,Kolkata Knight Riders
DE Bollinger,Player,Chennai Super Kings,Kolkata Knight Riders,0,1,Chennai Super Kings
S Dhawan,Player,Sunrisers Hyderabad,Kolkata Knight Riders,0,0,Sunrisers Hyderabad
CA Pujara,Player,Royal Challengers Bangalore,Chennai Super Kings,0,0,Chennai Super Kings
SE Marsh,Player,Kings XI Punjab,Mumbai Indians,0,0,Kings XI Punjab
NV Ojha,Keeper,Rajasthan Royals,Chennai Super Kings,1,0,Rajasthan Royals
AR Patel,Player,Kings XI Punjab,Chennai Super Kings,0,0,Chennai Super Kings
KV Sharma,Player,Sunrisers Hyderabad,Mumbai Indians,0,0,Sunrisers Hyderabad
JJ Bumrah,Player,Mumbai Indians,Sunrisers Hyderabad,0,0,Mumbai Indians
DJ Bravo,Player,Mumbai Indians,Kings XI Punjab,0,0,Kings XI Punjab
DPMD Jayawardene,Player,Delhi Daredevils,Deccan Chargers,0,0,Deccan Chargers
Shakib Al Hasan,Player,Kolkata Knight Riders,Mumbai Indians,0,0,Mumbai Indians
SE Marsh,Player,Kings XI Punjab,Mumbai Indians,0,1,Kings XI Punjab
JA Morkel,Player,Chennai Super Kings,Kolkata Knight Riders,0,0,Kolkata Knight Riders
RV Uthappa,Keeper,Kolkata Knight Riders,Delhi Daredevils,0,0,Delhi Daredevils
BB McCullum,Player,Gujarat Lions,Sunrisers Hyderabad,0,0,Sunrisers Hyderabad
B Kumar,Player,sunrisers Hyderabad,Delhi Daredevils,0,0,Delhi Daredevils
YK Pathan,Player,Kolkata Knight Riders,Gujarat Lions,0,0,Gujarat Lions
P Negi,Player,Chennai Super Kings,Kings XI Punjab,0,0,Chennai Super Kings
CH Morris,Player,Delhi Daredevils,Kings XI Punjab,0,1,Delhi Daredevils
G Gambhir,Captain,Kolkata Knight Riders,Chennai Super Kings,0,3,Chennai Super Kings
DW Steyn,Player,Royal Challengers Bangalore,Deccan Chargers,0,0,Royal Challengers Bangalore
JP Duminy,Player,Delhi Daredevils,Mumbai Indians,0,1,Delhi Daredevils
PP Ojha,Player,Mumbai Indians,Rajasthan Royals,0,0,Rajasthan Royals
SK Raina,Player,Chennai Super Kings,Mumbai Indians,0,1,Chennai Super Kings
SP Narine,Player,Kolkata Knight Riders,Rajasthan Royals,0,0,Rajasthan Royals
WD Parnell,Player,Delhi Daredevils,Sunrisers Hyderabad,0,0,Sunrisers Hyderabad
R Bhatia,Player,Kolkata Knight Riders,Kings XI Punjab,0,0,Kings XI Punjab
JH Kallis,Player,Royal Challengers Bangalore,Delhi Daredevils,1,0,Royal Challengers Bangalore
AM Rahane,Player,Rajasthan Royals,Delhi Daredevils,0,1,Rajasthan Royals
MA Starc,Player,Royal Challengers Bangalore,Delhi Daredevils,0,0,Delhi Daredevils
RG Sharma,Captain,Mumbai Indians,Kings XI Punjab,0,4,Mumbai Indians
R Vinay Kumar,Player,Kolkata Knight Riders,Rajasthan Royals,0,0,Rajasthan Royals
KC Sangakkara,CaptainKeeper,Deccan Chargers,Mumbai Indians,0,0,Mumbai Indians
ML Hayden,Player,Chennai Super Kings,Rajasthan Royals,0,0,Chennai Super Kings
PP Ojha,Player,Mumbai Indians,Pune Warriors,0,0,Pune Warriors
MC Henriques,Player,Delhi Daredevils,Deccan Chargers,0,0,Deccan Chargers
R Ashwin,Player,Rising Pune Supergiants,Sunrisers Hyderabad,0,0,Rising Pune Supergiants
RG Sharma,Captain,Mumbai Indians,Rajasthan Royals,0,3,Rajasthan Royals
YS Chahal,Player,Royal Challengers Bangalore,Mumbai Indians,0,1,Royal Challengers Bangalore
MA Agarwal,Player,Royal Challengers Bangalore,Deccan Chargers,0,1,Royal Challengers Bangalore
AM Rahane,Player,Mumbai Indians,Kings XI Punjab,0,0,Kings XI Punjab
S Sohal,Player,Deccan Chargers,Delhi Daredevils,0,1,Deccan Chargers
AP Tare,Player,Mumbai Indians,Kings XI Punjab,0,0,Kings XI Punjab
B Lee,Player,Kolkata Knight Riders,Deccan Chargers,1,0,Deccan Chargers
HH Gibbs,Player,Deccan Chargers,Delhi Daredevils,0,0,Deccan Chargers
EJG Morgan,Player,Kings XI Punjab,Sunrisers Hyderabad,0,0,Sunrisers Hyderabad
SV Samson,Keeper,Rajasthan Royals,Kings XI Punjab,0,0,Kings XI Punjab
MK Pandey,Player,Pune Warriors,Sunrisers Hyderabad,0,0,Pune Warriors
AM Nayar,Player,Mumbai Indians,Royal Challengers Bangalore,0,0,Royal Challengers Bangalore
Harbhajan Singh,Player,Mumbai Indians,Chennai Super Kings,0,0,Chennai Super Kings
BB McCullum,Player,Gujarat Lions,Mumbai Indians,0,0,Mumbai Indians
SP Narine,Player,Kolkata Knight Riders,Sunrisers Hyderabad,0,1,Kolkata Knight Riders
SPD Smith,Captain,Rising Pune Supergiants,Gujarat Lions,0,3,Gujarat Lions
AB de Villiers,Player,Delhi Daredevils,Chennai Super Kings,0,1,Delhi Daredevils
M Kartik,Player,Pune Warriors,Kolkata Knight Riders,0,0,Kolkata Knight Riders
DA Miller,Player,Kings XI Punjab,Chennai Super Kings,0,0,Chennai Super Kings
DA Miller,Player,Kings XI Punjab,Kolkata Knight Riders,0,0,Kolkata Knight Riders
AD Russell,Player,Kolkata Knight Riders,Kings XI Punjab,0,0,Kings XI Punjab
A Nehra,Player,Delhi Daredevils,Chennai Super Kings,0,0,Chennai Super Kings
WP Saha,Keeper,Kings XI Punjab,Chennai Super Kings,0,0,Chennai Super Kings
AJ Finch,Player,Gujarat Lions,Delhi Daredevils,0,0,Delhi Daredevils
RG Sharma,Captain,Mumbai Indians,Kings XI Punjab,0,4,Mumbai Indians
PA Patel,Keeper,Deccan Chargers,Chennai Super Kings,0,0,Chennai Super Kings
PA Patel,Keeper,Chennai Super Kings,Rajasthan Royals,0,0,Chennai Super Kings
Yuvraj Singh,Player,Kings XI Punjab,Chennai Super Kings,0,0,Kings XI Punjab
Z Khan,Captain,Delhi Daredevils,Royal Challengers Bangalore,0,4,Delhi Daredevils
GJ Bailey,Player,Rising Pune Supergiants,Delhi Daredevils,0,0,Rising Pune Supergiants
AR Patel,Player,Kings XI Punjab,Rising Pune Supergiants,0,0,Rising Pune Supergiants
AM Nayar,Player,Pune Warriors,Delhi Daredevils,0,0,Delhi Daredevils
SS Tiwary,Player,Mumbai Indians,Kolkata Knight Riders,0,0,Kolkata Knight Riders
SL Malinga,Player,Mumbai Indians,Royal Challengers Bangalore,0,0,Royal Challengers Bangalore
PV Tambe,Player,Rajasthan Royals,Sunrisers Hyderabad,0,0,Sunrisers Hyderabad
MS Gony,Player,Kings XI Punjab,Royal Challengers Bangalore,0,0,Royal Challengers Bangalore
B Kumar,Player,Pune Warriors,Kings XI Punjab,0,0,Kings XI Punjab
SE Marsh,Player,Kings XI Punjab,Mumbai Indians,0,0,Mumbai Indians
RV Uthappa,Keeper,Kolkata Knight Riders,Mumbai Indians,1,0,Kolkata Knight Riders
DJ Hooda,Player,Sunrisers Hyderabad,Royal Challengers Bangalore,0,0,Sunrisers Hyderabad
VR Aaron,Player,Royal Challengers Bangalore,Mumbai Indians,0,0,Mumbai Indians
SL Malinga,Player,Mumbai Indians,Kings XI Punjab,0,0,Kings XI Punjab
UT Yadav,Player,Kolkata Knight Riders,Gujarat Lions,0,1,Kolkata Knight Riders
PP Ojha,Player,Deccan Chargers,Delhi Daredevils,0,0,Delhi Daredevils
SB Jakati,Player,Chennai Super Kings,Kolkata Knight Riders,0,0,Chennai Super Kings
V Kohli,Captain,Royal Challengers Bangalore,Sunrisers Hyderabad,0,3,Sunrisers Hyderabad
UT Yadav,Player,Delhi Daredevils,Kolkata Knight Riders,0,1,Delhi Daredevils
DR Smith,Player,Chennai Super Kings,Mumbai Indians,1,0,Mumbai Indians
Iqbal Abdulla,Player,Kolkata Knight Riders,Mumbai Indians,0,0,Mumbai Indians
PP Chawla,Player,Kolkata Knight Riders,Gujarat Lions,0,0,Gujarat Lions
AM Nayar,Player,Pune Warriors,Sunrisers Hyderabad,0,0,Sunrisers Hyderabad
RV Uthappa,Player,Royal Challengers Bangalore,Mumbai Indians,0,0,Mumbai Indians
YS Chahal,Player,Royal Challengers Bangalore,Rajasthan Royals,0,0,Rajasthan Royals
SK Warne,Captain,Rajasthan Royals,Delhi Daredevils,0,3,Delhi Daredevils
AB de Villiers,Keeper,Royal Challengers Bangalore,Deccan Chargers,0,0,Deccan Chargers
SPD Smith,Captain,Rising Pune Supergiants,Delhi Daredevils,0,3,Delhi Daredevils
WP Saha,Keeper,Kolkata Knight Riders,Deccan Chargers,0,1,Kolkata Knight Riders
V Kohli,Captain,Royal Challengers Bangalore,Mumbai Indians,0,3,Mumbai Indians
AB de Villiers,Keeper,Royal Challengers Bangalore,Chennai Super Kings,0,0,Chennai Super Kings
M Kaif,Player,Rajasthan Royals,Royal Challengers Bangalore,0,1,Rajasthan Royals
SP Goswami,Keeper,Rajasthan Royals,Delhi Daredevils,0,1,Rajasthan Royals
R Sharma,Player,Pune Warriors,Kings XI Punjab,0,0,Kings XI Punjab
AB Agarkar,Player,Kolkata Knight Riders,Royal Challengers Bangalore,0,0,Royal Challengers Bangalore
A Kumble,Player,Royal Challengers Bangalore,Rajasthan Royals,0,0,Rajasthan Royals
SR Tendulkar,Captain,Mumbai Indians,Deccan Chargers,0,4,Mumbai Indians
DE Bollinger,Player,Chennai Super Kings,Royal Challengers Bangalore,0,1,Chennai Super Kings
RJ Harris,Player,Deccan Chargers,Royal Challengers Bangalore,0,0,Royal Challengers Bangalore
DB Ravi Teja,Player,Deccan Chargers,Royal Challengers Bangalore,0,0,Royal Challengers Bangalore
IK Pathan,Player,Kings XI Punjab,Mumbai Indians,0,1,Kings XI Punjab
MS Dhoni,CaptainKeeper,Chennai Super Kings,Kings XI Punjab,0,0,Chennai Super Kings
PP Chawla,Player,Kings XI Punjab,Kolkata Knight Riders,0,0,Kings XI Punjab
RV Uthappa,Keeper,Pune Warriors,Kolkata Knight Riders,0,0,Kolkata Knight Riders
DB Das,Player,Kolkata Knight Riders,Chennai Super Kings,0,1,Kolkata Knight Riders
KD Karthik,Keeper,Mumbai Indians,Delhi Daredevils,0,1,Mumbai Indians
MA Agarwal,Player,Rising Pune Supergiants,Mumbai Indians,0,0,Rising Pune Supergiants
DJ Hussey,Player,Kolkata Knight Riders,Kings XI Punjab,0,0,Kings XI Punjab
KM Jadhav,Keeper,Delhi Daredevils,Chennai Super Kings,0,1,Delhi Daredevils
RN ten Doeschate,Player,Kolkata Knight Riders,Kings XI Punjab,0,0,Kings XI Punjab
S Badrinath,Player,Chennai Super Kings,Rajasthan Royals,0,1,Chennai Super Kings
RP Singh,Player,Deccan Chargers,Chennai Super Kings,0,0,Chennai Super Kings
DT Christian,Player,Rising Pune Supergiants,Mumbai Indians,0,0,Mumbai Indians
Harmeet Singh,Player,Deccan Chargers,Delhi Daredevils,0,0,Delhi Daredevils
AA Jhunjhunwala,Player,Rajasthan Royals,Mumbai Indians,0,0,Mumbai Indians
MK Tiwary,Player,Kolkata Knight Riders,Delhi Daredevils,0,0,Delhi Daredevils
BJ Hodge,Player,Kolkata Knight Riders,Mumbai Indians,0,0,Kolkata Knight Riders
SP Narine,Player,Kolkata Knight Riders,Kings XI Punjab,0,0,Kings XI Punjab
MK Pandey,Player,Pune Warriors,Deccan Chargers,0,0,Deccan Chargers
SP Narine,Player,Kolkata Knight Riders,Rising Pune Supergiants,0,0,Rising Pune Supergiants
MC Henriques,Player,Sunrisers Hyderabad,Kings XI Punjab,0,0,Sunrisers Hyderabad
DPMD Jayawardene,Player,Delhi Daredevils,Kolkata Knight Riders,0,0,Delhi Daredevils
B Lee,Player,Kolkata Knight Riders,Delhi Daredevils,0,0,Delhi Daredevils
GJ Maxwell,Player,Kings XI Punjab,Royal Challengers Bangalore,0,0,Kings XI Punjab
KD Karthik,Keeper,Mumbai Indians,Delhi Daredevils,0,0,Delhi Daredevils
DPMD Jayawardene,Player,Kings XI Punjab,Rajasthan Royals,0,1,Kings XI Punjab
RP Singh,Player,Deccan Chargers,Chennai Super Kings,0,1,Deccan Chargers
WP Saha,Keeper,Kings XI Punjab,Kolkata Knight Riders,0,0,Kolkata Knight Riders
PP Chawla,Player,Kings XI Punjab,Delhi Daredevils,0,0,Kings XI Punjab
RN ten Doeschate,Player,Kolkata Knight Riders,Delhi Daredevils,0,0,Delhi Daredevils
PP Chawla,Player,Kings XI Punjab,Kolkata Knight Riders,0,1,Kings XI Punjab
KV Sharma,Player,Sunrisers Hyderabad,Kolkata Knight Riders,0,0,Sunrisers Hyderabad
Mandeep Singh,Player,Royal Challengers Bangalore,Kolkata Knight Riders,0,0,Kolkata Knight Riders
WP Saha,Keeper,Kings XI Punjab,Kolkata Knight Riders,0,0,Kolkata Knight Riders
DT Christian,Player,Deccan Chargers,Mumbai Indians,0,0,Mumbai Indians
SK Raina,Player,Chennai Super Kings,Delhi Daredevils,0,0,Delhi Daredevils
KD Karthik,Keeper,Mumbai Indians,Kings XI Punjab,0,1,Mumbai Indians
B Kumar,Player,Pune Warriors,Chennai Super Kings,0,0,Pune Warriors
PA Patel,Keeper,Mumbai Indians,Kings XI Punjab,0,1,Mumbai Indians
