Player_Name,Role_Desc,Player_team,Opposit_Team,is_manofThematch,pscore,City_Name,
RP Singh,Player,Mumbai Indians,Kings XI Punjab,FALSE,1,Mumbai Indians,
KD Karthik,Keeper,Mumbai Indians,Kings XI Punjab,FALSE,1,Mumbai Indians,
MM Patel,Player,Mumbai Indians,Kings XI Punjab,FALSE,1,Mumbai Indians,
PP Ojha,Player,Mumbai Indians,Kings XI Punjab,FALSE,1,Mumbai Indians,
SR Tendulkar,Player,Mumbai Indians,Kings XI Punjab,FALSE,1,Mumbai Indians,
AT Rayudu,Player,Mumbai Indians,Kings XI Punjab,FALSE,1,Mumbai Indians,
KA Pollard,Player,Mumbai Indians,Kings XI Punjab,FALSE,1,Mumbai Indians,
JEC Franklin,Player,Mumbai Indians,Kings XI Punjab,FALSE,1,Mumbai Indians,
NLTC Perera,Player,Mumbai Indians,Kings XI Punjab,FALSE,1,Mumbai Indians,
DJ Hussey,Captain,Kings XI Punjab,Mumbai Indians,FALSE,3,Mumbai Indians,
P Kumar,Player,Kings XI Punjab,Mumbai Indians,FALSE,0,Mumbai Indians,
PP Chawla,Player,Kings XI Punjab,Mumbai Indians,FALSE,0,Mumbai Indians,
SE Marsh,Player,Kings XI Punjab,Mumbai Indians,TRUE,0,Mumbai Indians,
